0: x:0.144623 y:0.057935
1: x:0.395292 y:0.093240
2: x:0.648733 y:0.128593
3: x:0.899783 y:0.166433
4: x:1.153110 y:0.200578
5: x:1.402054 y:0.233639
6: x:1.628551 y:0.342793
7: x:1.777220 y:0.551134
8: x:1.771300 y:0.807278
9: x:1.758195 y:1.058394
10: x:1.700419 y:1.304059
11: x:1.618478 y:1.569264
12: x:1.534605 y:1.818194
13: x:1.449337 y:2.060708
14: x:1.305144 y:2.267783
15: x:1.047638 y:2.310604
16: x:0.776559 y:2.323384
17: x:0.576742 y:2.314387
18: x:0.315926 y:2.272828
19: x:0.061449 y:2.224123
20: x:-0.195287 y:2.169500
21: x:-0.447253 y:2.109416
22: x:-0.710326 y:2.063439
23: x:-0.958291 y:2.003106
24: x:-1.222076 y:1.940716
25: x:-1.489835 y:1.874287
26: x:-1.748122 y:1.796339
27: x:-1.878392 y:1.570916
28: x:-1.890601 y:1.311669
29: x:-1.866394 y:1.055356
30: x:-1.812563 y:0.793535
31: x:-1.752612 y:0.538699
32: x:-1.686958 y:0.292010
33: x:-1.619328 y:0.047653
34: x:-1.451460 y:-0.141831
35: x:-1.237977 y:-0.295545
36: x:-0.977809 y:-0.293413
37: x:-0.707891 y:-0.264401
38: x:-0.433627 y:-0.2240660
